fsq_id,categories,chains,closed_bucket,distance,link,name,timezone,source,latitude,longitude,geocodes.drop_off.latitude,geocodes.drop_off.longitude,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,location.address_extended,related_places.children,related_places.parent.fsq_id,related_places.parent.categories,related_places.parent.name
5859d15c1d21ba53f2f9b4ef,"[{'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13072, 'name': 'Asian Restaurant', 'short_name': 'Asian', 'plural_name': 'Asian Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}]",[],VeryLikelyOpen,790,/v3/places/5859d15c1d21ba53f2f9b4ef,Lake Inez,America/Toronto,Foursquare,43.665269,-79.319796,43.67254,-79.320847,43.672346,-79.320804,43.672346,-79.320804,1471 Gerrard St E,CA,,"1471 Gerrard St E, Toronto ON M4L 2A1",Toronto,M4L 2A1,ON,,,,,
54302333498ed6ec0533ab40,"[{'id': 13140, 'name': 'Egyptian Restaurant', 'short_name': 'Egyptian Restaurant', 'plural_name': 'Egyptian Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/middleeastern_', 'suffix': '.png'}}]",[],VeryLikelyOpen,996,/v3/places/54302333498ed6ec0533ab40,Maha's Fine Egyptian Cuisine,America/Toronto,Foursquare,43.665269,-79.319796,43.671737,-79.328337,43.671682,-79.328462,43.671682,-79.328462,226 Greenwood Ave,CA,Sandford Avenue,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Toronto,M4L 2R2,ON,,,,,
4b5f3113f964a5203fac29e3,"[{'id': 13034, 'name': 'Café', 'short_name': 'Café', 'plural_name': 'Cafés', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'short_name': 'American', 'plural_name': 'American Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13334, 'name': 'Sandwich Spot', 'short_name': 'Sandwich Spot', 'plural_name': 'Sandwich Spots', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}}]",[],VeryLikelyOpen,2264,/v3/places/4b5f3113f964a5203fac29e3,Riverdale Perk,America/Toronto,Foursquare,43.665269,-79.319796,,,43.671322,-79.346691,43.671322,-79.346691,633 Logan Ave,CA,at Withrow Ave,"633 Logan Ave (at Withrow Ave), Toronto ON M4K 3C4",Toronto,M4K 3C4,ON,,,,,
55637f1c498ecfe4c5dd2322,"[{'id': 13034, 'name': 'Café', 'short_name': 'Café', 'plural_name': 'Cafés', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13035, 'name': 'Coffee Shop', 'short_name': 'Coffee Shop', 'plural_name': 'Coffee Shops', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],LikelyOpen,2269,/v3/places/55637f1c498ecfe4c5dd2322,Boxcar Social,America/Toronto,Foursquare,43.665269,-79.319796,,,43.659683,-79.346952,43.659683,-79.346952,4 Boulton Ave,CA,at Queen St E,"4 Boulton Ave (at Queen St E), Toronto ON M4M 2J3",Toronto,M4M 2J3,ON,,,,,
58233f576a80ef616dbf88ab,"[{'id': 13049, 'name': 'Diner', 'short_name': 'Diner', 'plural_name': 'Diners', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}}]",[],VeryLikelyOpen,2637,/v3/places/58233f576a80ef616dbf88ab,White Lily Diner,America/Toronto,Foursquare,43.665269,-79.319796,43.658549,-79.351294,43.658748,-79.351339,43.658748,-79.351339,678 Queen St E,CA,,"678 Queen St E, Toronto ON M4M 1G8",Toronto,M4M 1G8,ON,,,,,
4b4626fef964a5204a1826e3,"[{'id': 13034, 'name': 'Café', 'short_name': 'Café', 'plural_name': 'Cafés', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13035, 'name': 'Coffee Shop', 'short_name': 'Coffee Shop', 'plural_name': 'Coffee Shops', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],VeryLikelyOpen,2683,/v3/places/4b4626fef964a5204a1826e3,Rooster Coffee House,America/Toronto,Foursquare,43.665269,-79.319796,43.669168,-79.352984,43.669144,-79.352753,43.669144,-79.352753,479 Broad View Ave,CA,at Riverdale Ave,"479 Broad View Ave (at Riverdale Ave), Toronto ON M4K 2N4",Toronto,M4K 2N4,ON,,,,,
4bb75e0f6edc76b03212321c,"[{'id': 13002, 'name': 'Bakery', 'short_name': 'Bakery', 'plural_name': 'Bakeries', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}}]",[],VeryLikelyOpen,2926,/v3/places/4bb75e0f6edc76b03212321c,Serano Bakery,America/Toronto,Foursquare,43.665269,-79.319796,43.683082,-79.346414,43.682936,-79.346801,43.682936,-79.346801,830 Pape Ave,CA,,"830 Pape Ave, Toronto ON M4K 3T5",Toronto,M4K 3T5,ON,# 5,"[{'fsq_id': '5699ae5a498ebded74e95a42', 'categories': [{'id': 17057, 'name': 'Food and Beverage Retail', 'short_name': 'Food & Beverage', 'plural_name': 'Food and Beverage Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/foodanddrink_', 'suffix': '.png'}}], 'name': 'Melia Point of Sales'}]",,,
57e0745a498ea809dbf75f68,"[{'id': 13302, 'name': 'Mediterranean Restaurant', 'short_name': 'Mediterranean', 'plural_name': 'Mediterranean Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mediterranean_', 'suffix': '.png'}}]",[],VeryLikelyOpen,3064,/v3/places/57e0745a498ea809dbf75f68,Souk Tabule,America/Toronto,Foursquare,43.665269,-79.319796,,,43.653754,-79.354428,43.653754,-79.354428,494 Front St E,CA,at Bayview,"494 Front St E (at Bayview), Toronto ON M5A 0J1",Toronto,M5A 0J1,ON,,,,,
4add3b20f964a520b16421e3,"[{'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13057, 'name': 'Gastropub', 'short_name': 'Gastropub', 'plural_name': 'Gastropubs', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/gastropub_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'short_name': 'American', 'plural_name': 'American Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],LikelyOpen,3869,/v3/places/4add3b20f964a520b16421e3,House on Parliament,America/Toronto,Foursquare,43.665269,-79.319796,,,43.663671,-79.367878,43.663671,-79.367878,454 Parliament St,CA,btwn Carlton & Gerrard,"454 Parliament St (btwn Carlton & Gerrard), Toronto ON M5A 3A2",Toronto,M5A 3A2,ON,,,,,
50e8b903e4b04fa56858ecfe,"[{'id': 13026, 'name': 'BBQ Joint', 'short_name': 'BBQ', 'plural_name': 'BBQ Joints', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bbqalt_', 'suffix': '.png'}}, {'id': 13263, 'name': 'Japanese Restaurant', 'short_name': 'Japanese', 'plural_name': 'Japanese Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}}]",[],LikelyOpen,4093,/v3/places/50e8b903e4b04fa56858ecfe,Zakkushi,America/Toronto,Foursquare,43.665269,-79.319796,,,43.663581,-79.370669,43.663581,-79.370669,193 Carlton St,CA,at Ontario St.,"193 Carlton St (at Ontario St.), Toronto ON M5A 2K7",Toronto,M5A 2K7,ON,,[],,,
574ad72238fa943556d93b8e,"[{'id': 13026, 'name': 'BBQ Joint', 'short_name': 'BBQ', 'plural_name': 'BBQ Joints', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bbqalt_', 'suffix': '.png'}}, {'id': 17057, 'name': 'Food and Beverage Retail', 'short_name': 'Food & Beverage', 'plural_name': 'Food and Beverage Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/foodanddrink_', 'suffix': '.png'}}]",[],VeryLikelyOpen,4686,/v3/places/574ad72238fa943556d93b8e,Gyu-Kaku BBQ,America/Toronto,Foursquare,43.665269,-79.319796,43.651539,-79.375072,43.651596,-79.374936,43.651596,-79.374936,81 Church St,CA,at Adelaide St E,"81 Church St (at Adelaide St E), Toronto ON M5C 2G2",Toronto,M5C 2G2,ON,,,,,
56d4d1b3cd1035fe77e1492c,"[{'id': 13034, 'name': 'Café', 'short_name': 'Café', 'plural_name': 'Cafés', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],VeryLikelyOpen,4607,/v3/places/56d4d1b3cd1035fe77e1492c,Page One Cafe,America/Toronto,Foursquare,43.665269,-79.319796,,,43.657243,-79.376021,43.657243,-79.376021,106 Mutual St,CA,btwn Dundas & Gould St,"106 Mutual St (btwn Dundas & Gould St), Toronto ON M5B 2R7",Toronto,M5B 2R7,ON,Unit 8,,,,
5b5bca904aa3f8002c97f85d,"[{'id': 13377, 'name': 'Vegan and Vegetarian Restaurant', 'short_name': 'Vegan and Vegetarian Restaurant', 'plural_name': 'Vegan and Vegetarian Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vegetarian_', 'suffix': '.png'}}]",[],LikelyOpen,4787,/v3/places/5b5bca904aa3f8002c97f85d,Fresh Kitchen + Juice Bar,America/Toronto,Foursquare,43.665269,-79.319796,43.64813,-79.374396,43.64783,-79.374244,43.64783,-79.374244,47 Front St E,CA,Church Street,"47 Front St E (Church Street), Toronto ON M5E 1B3",Toronto,M5E 1B3,ON,,,,,
4bb942a7cf2fc9b6596ca002,"[{'id': 13383, 'name': 'Steakhouse', 'short_name': 'Steakhouse', 'plural_name': 'Steakhouses', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}}]",[],VeryLikelyOpen,4666,/v3/places/4bb942a7cf2fc9b6596ca002,The Keg Steakhouse & Bar,America/Toronto,Foursquare,43.665269,-79.319796,,,43.666818,-79.378075,43.666769,-79.377817,515 Jarvis St,CA,Wellesley,"515 Jarvis St (Wellesley), Toronto ON M4Y 2H7",Toronto,M4Y 2H7,ON,,,,,
5022a0cde4b0c3bc4aff8d5c,"[{'id': 13034, 'name': 'Café', 'short_name': 'Café', 'plural_name': 'Cafés', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13035, 'name': 'Coffee Shop', 'short_name': 'Coffee Shop', 'plural_name': 'Coffee Shops', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],LikelyOpen,4170,/v3/places/5022a0cde4b0c3bc4aff8d5c,The Black Canary Espresso Bar,America/Toronto,Foursquare,43.665269,-79.319796,43.651772,-79.368451,43.651856,-79.368245,43.651856,-79.368245,61 Sherbourne St,CA,,"61 Sherbourne St, Toronto ON M5A 2P8",Toronto,M5A 2P8,ON,,,,,
50b7c53616485cd9efad60d5,"[{'id': 13352, 'name': 'Thai Restaurant', 'short_name': 'Thai', 'plural_name': 'Thai Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/thai_', 'suffix': '.png'}}]",[],LikelyOpen,4780,/v3/places/50b7c53616485cd9efad60d5,Sukho Thai,America/Toronto,Foursquare,43.665269,-79.319796,43.648471,-79.374525,43.648593,-79.374552,43.648593,-79.374552,52 Wellington St E,CA,at Church St,"52 Wellington St E (at Church St), Toronto ON M5E 1C7",Toronto,M5E 1C7,ON,,,,,
506db1a9e4b0a3f3b31412f0,"[{'id': 13068, 'name': 'American Restaurant', 'short_name': 'American', 'plural_name': 'American Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],LikelyOpen,5016,/v3/places/506db1a9e4b0a3f3b31412f0,Richmond Station,America/Toronto,Foursquare,43.665269,-79.319796,,,43.65151,-79.379223,43.65151,-79.379223,1 Richmond St W,CA,Yonge Street,"1 Richmond St W (Yonge Street), Toronto ON M5H 3W4",Toronto,M5H 3W4,ON,,,,,
4b56a44ff964a5206e1728e3,"[{'id': 13383, 'name': 'Steakhouse', 'short_name': 'Steakhouse', 'plural_name': 'Steakhouses', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}}, {'id': 17057, 'name': 'Food and Beverage Retail', 'short_name': 'Food & Beverage', 'plural_name': 'Food and Beverage Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/foodanddrink_', 'suffix': '.png'}}]",[],VeryLikelyOpen,4883,/v3/places/4b56a44ff964a5206e1728e3,The Keg Steakhouse + Bar,America/Toronto,Foursquare,43.665269,-79.319796,,,43.646718,-79.374862,43.646718,-79.374862,26 the Esplanade,CA,,"26 the Esplanade, Toronto ON M5E 1A6",Toronto,M5E 1A6,ON,,,,,
